dataset_locator_id,study_id,study_slug,included_status,year,journal_published,open_access,study_data_available,public_locator_urls,public_repository_types,public_total_size_raw,public_total_size_bytes_min,public_total_size_bytes_max,public_size_parse_note,data_availability_notes,imaging_modality,modality_code,xy_nm,z_nm,organism_type,cell_type,cell_type_code,abbreviation,min_sample_size,sample_size_certain,sample_size_notes,organelles_common,organelles_specialized,source_file,source_sheet,source_repo_url,source_commit
kelbauskas-2017-115,Kelbauskas 2017,kelbauskas-2017,included,2017,Science Advances,Yes,No,,,,,,,"""Data and materials availability: All data needed to evaluate the conclusions in the paper are present in the paper and/or the Supplementary Materials. Additional data related to this paper may be requested from the authors.""",Optical tomography (LCCT),7,291-331,232-300,Human (cancer),K562 (leukemia),78,J774A1,1,Y,,Nucleus; Mitochondria,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
kichuk-2024-058,Kichuk 2024,kichuk-2024,included,2024,Cell Reports Methods,Yes,No,,,,,,,(1) Microscopy and any additional data reported in this paper will be shared by the lead contact upon request. (2) All original code has been deposited on Figshare and Github and is publicly available as of the date of publication. DOIs are listed in the key resources table. (3) Any additional information required to re-analyze the data reported in this paper is available from the lead contact upon request.,Fluorescence,6,131-151,347-399,Yeast,Saccharomyces cerevisiae,38,Sc,90,Y,"yeast - 90 (30 cells per metabolic state) (12 MRC-5 cells counted from Fig 6B-D, but EXCLUDED due to lack of cell boundary)","nucleus, ER; Mitochondria",,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
koutsogiannis-2023-017,Koutsogiannis 2023,koutsogiannis-2023,included,2023,Frontiers in Cellular and Infection Microbiology,Yes,No,,,,,,,The original contributions presented in the study are included in the article/Supplementary Material. Further inquiries can be directed to the corresponding author.,Optical tomography (diffraction),7,?,?,Protist (parasitic protozoan),Toxoplasma gondii,14,Tg,3,Y,"1 WT, 2 cerS1 mutant",Nucleus,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
larabell-2004-059,Larabell 2004,larabell-2004,included,2004,MBoC,Yes,No,,,,,,,,SXT,2,60,60,Yeast,Saccharomyces cerevisiae,38,Sc,3,Y,,"vacuole, lipid droplet, nucleus",,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
laundon-2019-073,Laundon 2019,laundon-2019,included,2019,PLOS Biology,Yes,Yes,https://doi.org/10.6084/m9.figshare.7346750.v2,figshare,3.02 GB,3020000000,3020000000,,"(""All relevant data are within the paper and its Supporting Information files. All TrakEM2 project files and electron microscopy files are available from figshare (doi. org/10.6084/m9.figshare.7346750.v2)."")",ssTEM,4,?,70-150,Invertebrate,"Oscarella carmela, choanocytes",43,Oc,5,Y,,Nucleus; ER; Mitochondria; Vacuole/Lysosome; Golgi; Flagella/cilia; Centrosome/Basal Body,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
laundon-2019-072,Laundon 2019,laundon-2019,included,2019,PLOS Biology,Yes,Yes,https://doi.org/10.6084/m9.figshare.7346750.v2,figshare,3.02 GB,3020000000,3020000000,,"(""All relevant data are within the paper and its Supporting Information files. All TrakEM2 project files and electron microscopy files are available from figshare (doi. org/10.6084/m9.figshare.7346750.v2)."")",ssTEM,4,?,70-150,Protist (choanoflagellate),Salpingoeca rosetta,42,Sr,6,Y,"3 colonial, 3 single",Nucleus; ER; Mitochondria; Vacuole/Lysosome; Golgi; Flagella/cilia; Centrosome/Basal Body; Vesicles,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
li-2022-087,Li 2022,li-2022,included,2022,PLoS One.,Yes,No,,,,,,,,SXT,2,60,60,Rodent,INS-1E (R. norvegicus),57,RtBeta,132,Y,40 tomograms from SXT extended to 132. unsure if those original 40 are included in the 132. 3 for analysis,Nucleus; Mitochondria; Vesicles,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
liu-2018-070,Liu 2018,liu-2018,included,2018,Journal of Microscopy,No,No,,,,,,,,SXT,2,30,30,Yeast (pathogenic),Candida utilis,40,Cu,2,Y,1 G1 and 1 budding,Nucleus; Mitochondria; Vacuole/Lysosome; Lipid Droplets,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
liu-2018-079,Liu 2018,liu-2018,included,2018,Journal of Microscopy,No,No,,,,,,,,Fluorescence (AO-LLSM),6,97,200,Fish,"Danio rerio, lens cell",49,ZbL,1,Y,,Nucleus; ER; Mitochondria; Golgi,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
liu-2018-078,Liu 2018,liu-2018,included,2018,Journal of Microscopy,No,No,,,,,,,,Fluorescence (AO-LLSM),6,97,200,Fish,"Danio rerio, neural progenitor cell",48,ZbNP,1,Y,1 of each cell type (see below); 3 time points for zebrafish neural progenitor,Nucleus; ER; Mitochondria; Golgi,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
liu-2018-083,Liu 2018,liu-2018,included,2018,Journal of Microscopy,No,No,,,,,,,,Fluorescence (AO-LLSM),6,97,200,Fish,"Danio rerio, retinal neuroepithelial cell",53,ZbRN,3,Y,,Nucleus; ER; Mitochondria; Golgi,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
liu-2018-080,Liu 2018,liu-2018,included,2018,Journal of Microscopy,No,No,,,,,,,,Fluorescence (AO-LLSM),6,97,200,Fish,"Danio rerio, skin cell",50,ZbS,1,Y,,Nucleus; ER; Mitochondria; Golgi,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
loconte-2021-108,Loconte 2021,loconte-2021,included,2021,Cell Reports Methods,Yes,No,,,,,,,Data and code availability: This paper does not report original code. Any additional information required to reanalyze the data reported in this paper is available from the lead contact upon request,SXT,2,50,50,Human (differentiated),GM12878 (B lymphocyte),71,humB,17,Y,"17 B cells (7 native, 10 fixed); 3ea uninfected HEK293T-ACE2; Calu-3, A549-ACE2 + 3 infected (24hpi) + addlt at 6hpi (17 total infected cells means 14 @ 6hpi across 3 cell lines)",ER; Mitochondria; Lipid Droplets; Vesicles,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
loconte-2021-117,Loconte 2021,loconte-2021,included,2021,Cell Reports Methods,Yes,No,,,,,,,Data and code availability: This paper does not report original code. Any additional information required to reanalyze the data reported in this paper is available from the lead contact upon request,SXT,2,50,50,Human (cancerous),HEK293T,79,HEK,3,N,,ER; Mitochondria; Lipid Droplets; Vesicles,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
loconte-2022-088,Loconte 2022,loconte-2022,included,2022,Structure,Yes,No,,,,,,,Data and code availability All original code and reconstructed data are available from the corresponding contacts upon request. Any additional information required to reanalyze the data reported in this paper is available from the corresponding contacts upon request,SXT,2,60,60,Rodent,INS-1E (R. norvegicus),57,RtBeta,56,Y,,Nucleus; Mitochondria; Vesicles,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
matharu-2023-105,Matharu 2023,matharu-2023,included,2023,Platelets,Yes,No,,,,,,,,FIB-SEM,1,7,15,Human,platelet,70,HuPlt,64,Y,"63 including mito (606 total cell+AGl, 300 Ctrl, 306 COVID)",mitochondria,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
mcquate-2023-081,McQuate 2023,mcquate-2023,included,2023,eLife,Yes,Yes,https://elifesciences.org/articles/80468#data; http://demo.webknossos.org/,elifesciences.org; webKnossos,"25-200 MB each, need to check; some BBs are too large to download?",400000000,3200000000,range multiplied by reported file count (16),"The SBFSEM data volumes for the sixteen different NMs used in this manuscript, including WT and mutants, are publicly available at webKnossos (http://demo.webknossos.org/), searchable by the dataset name indicated in the relevant source data. [information for 16 datasets included]",SBF-SEM,3,5,40-50,Fish,"Danio rerio, hair cells",51,ZbHC,134,Y,"12 3dpf (12 w kinocilia, 10 w stereocilia), 65 5-6dpf HC (inc cilia); 19 cdh23 cells; 45 cav1.3a cells - only counted the ones for which multiple organelles are segmented/analyzed (cilia), according to figure legends","Mitochondria, flagella/cilia",,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
mcquate-2023-082,McQuate 2023,mcquate-2023,included,2023,eLife,Yes,Yes,https://elifesciences.org/articles/80468#data; http://demo.webknossos.org/,elifesciences.org; webKnossos,"25-200 MB each, need to check; some BBs are too large to download?",400000000,3200000000,range multiplied by reported file count (16),"The SBFSEM data volumes for the sixteen different NMs used in this manuscript, including WT and mutants, are publicly available at webKnossos (http://demo.webknossos.org/), searchable by the dataset name indicated in the relevant source data. [information for 16 datasets included]",SBF-SEM,3,5,40-50,Fish,"Danio rerio, supporting cells",52,ZbSC,12,Y,,"Mitochondria, flagella/cilia",,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
medeiros-2012-011,Medeiros 2012,medeiros-2012,included,2012,PLoS One,Yes,No,,,,,,,,FIB-SEM,1,3.5-6.07,3.5-6.07,Protist (parasitic protozoan),Plasmodium chaubadi,8,Pc-iMe,10,Y,10 quantified (Table 1); 1 or 2 whole cell images,Nucleus; Vacuole/Lysosome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
midorikawa-2022-049,Midorikawa 2022,midorikawa-2022,included,2022,PNAS Nexus,Yes,Yes,,,,,,,"""All data needed to evaluate the conclusions in the paper are present in the paper and/or the Supplementary Materials.""",FESEM,11,10,100,Plant,"Arabidopsis thaliana, mesophyll",34,At-m,6,Y,"3L, 3D",Nucleus; Mitochondria; Vacuole/Lysosome; Chloroplast/Plastid; Peroxisome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
mirasole-2023-050,Mirasole 2023,mirasole-2023,included,2023,Scientific Reports,Yes,No,,,,,,,,Fluorescence,6,120,285,Plant,"Arabidopsis thaliana, guard cell",35,At-g,10,N,,Nucleus; Vacuole/Lysosome; Chloroplast/Plastid,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
mocaer-2023-002,Mocaer 2023,mocaer-2023,included,2023,Journal of Cell Science,Yes,Yes,https://github.com/mobie/environmentaldinoflagellate-vCLEM; https://www.ebi.ac.uk/empiar/EMPIAR-11399/,GitHub/MoBIE; EMPIAR,14.5 GB,14500000000,14500000000,,The FIB-SEM datasets generated during this study are available at Electron Microscopy Public Image Archive (EMPIAR) under the accession number EMPIAR11399. The complete dataset and associated segmentation can be visualized and interacted with using MoBIE (https://github.com/mobie/environmentaldinoflagellate-vCLEM).,FIB-SEM,1,8,8,Protist (dinoflagellate),Ensiculifera tyrrhenica,2,Etyr,1,Y,,Nucleus; Mitochondria; Chloroplast/Plastid; Golgi; Flagella/cilia,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
motta-2010-015,Motta 2010,motta-2010,included,2010,PLoS ONE,Yes,No,,,,,,,,FIB-SEM,1,?,113.5,Protist (parasitic protozoan),Crithidia deanei,12,Cd,1,Y,"""The description of events and timings in the C. deanei cell cycle were based on counts of 1000 cells.""",Nucleus; Flagella/cilia,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
muller-2021-094,Muller 2021,muller-2021,included,2021,Journal of Cell Biology,Yes,Yes,https://betaseg.github.io/; https://cloud.mpi-cbg.de/index.php/s/UJopHTRuh6f4wR8; https://sites.imagej.net/,BetaSeg; MPI-CBG Cloud; sites.imagej.net,56.4,56400000000,56400000000,numeric cell without units in workbook; interpreted as GB from context,Segmentation masks and crops of analyzed Î² cellshavebeen binned to near 16 nm isotropic voxel size and are available for download via https://betaseg.github.io/. The FIJI plugin BetaSeg Viewer and the plugin for importing KNOSSOS skeletons can be downloaded via the update site https://sites.imagej.net/ betaseg/.,FIB-SEM,1,4,4,Rodent,"M. musculus, beta cell",61,MsBeta,7,Y,"3 low-glucose, 4 high-glucose","Nucleus; Mitochondria; Golgi; centrosome/basal body, flagella",centriole; axomene,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
murata-2014-060,Murata 2014,murata-2014,included,2014,Ultramicroscopy,No,No,,,,,,,,STEM,9,5,25,Yeast,Saccharomyces cerevisiae,38,Sc,1,Y,,Nucleus; Mitochondria; Vacuole/Lysosome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
murphy-2011-109,Murphy 2011,murphy-2011,included,2011,Journal of Structural Biology,Yes,No,,,,,,,,FIB-SEM,1,21,21,Human,T cell,72,T,1,Y,,Nucleus; Mitochondria,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
niclis-2015-102,Niclis 2015,niclis-2015,included,2015,J Royal Society Interface,Yes,No,,,,,,,,SXT,2,50,50,Human (undifferentiated),hASC (adipose-derived),67,hASC,12,N,,Nucleus; Mitochondria; Vacuole/Lysosome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
niclis-2015-101,Niclis 2015,niclis-2015,included,2015,J Royal Society Interface,Yes,No,,,,,,,,SXT,2,50,50,Human (undifferentiated),hESC (embryonic),66,hESC,12,N,"(12 hESC and 12 hAEC imaged, but unclear if whole-cell. States that videos are available in elec supp material, but can't track it down online)",Nucleus; Mitochondria; Vacuole/Lysosome,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
noske-2008-095,Noske 2008,noske-2008,included,2008,Journal of Structural Biology,Yes,No,,,,,,,"""Original EM tilt series image stacks, together with the resulting tomographic reconstructions and 3D surface-rendered model data associated with this work have been deposited in the Cell Centered Database (CCDB; http://ncmir.ucsd.edu/CCDB/) (Martone et al., 2002). Associated QuickTimeÂ® movies and high-resolution images derived from the tomograms and 3D rendered models published here are publicly available for download directly from the CCDB or from the Journal of Structural Biology website, or can be provided from the authors on CD-ROM or DVD-ROM on request."" - However, link no longer works",ET (Cryo),5,15-20,15-20,Rodent,"M. musculus, beta cell",61,MsBeta,2,Y,,Nucleus; Mitochondria; Golgi; MVB,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
oi-2017-044,Oi 2017,oi-2017,included,2017,Annals of Botany,Yes,No,,,,,,,,FIB-SEM,1,25,50,Plant,"Oryza sativa, mesophyll",31,Os,3,Y,"1 visible 3D reconstruction, 2 addtl in supp movies (chloroplast counts)",Nucleus; Chloroplast/Plastid,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
okumura-2018-097,Okumura 2018,okumura-2018,included,2018,Micron,No,No,,,,,,,,ET,5,?,60-80,Mammal,Mm2T (Muntiacus muntjak),63,Mm2T,1,Y,,Mitochondria; Lipid Droplets;,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
ota-2016-036,Ota 2016,ota-2016,included,2016,Biotechnology for Biofuels,Yes,No,,,,,,,,ssTEM,4,?,?,Protist (green alga),Parachlorella kessleri,26,Pk,3,Y,1 per condition,Nucleus; Mitochondria; Vacuole/Lysosome; Lipid Droplets; Chloroplast/Plastid,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
paredes-santos-2012-018,Paredes-Santos 2012,paredes-santos-2012,included,2012,Journal of Structural Biology,No,No,,,,,,,,FIB-SEM,1,25,25,Protist (parasitic protozoan),Toxoplasma gondii,14,Tg,2,Y,"2 reconstructions stated, 1 full 3D model visualized",,"Other: secretory organelles (microneme, rhoptry, dense granules), conoid",Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
parkinson-2008-053,Parkinson 2008,parkinson-2008,included,2008,Journal of Structural Biology,Yes,No,,,,,,,,SXT,2,20,20,Yeast,Schizosaccharomyces pombe,37,Sp,4,Y,"1 early cc, 1 pre-division, 1 mother & 1 daughter (attached)",Nucleus; Mitochondria; Vacuole/Lysosome;,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
perktold-2007-061,Perktold 2007,perktold-2007,included,2007,FEMS Yeast Res,Yes,No,,,,,,,,ssTEM,4,30,80,Yeast,Saccharomyces cerevisiae,38,Sc,2,N,at least one chemically fixed and one cryofixed,Nucleus; ER; Mitochondria; Vacuole/Lysosome; Lipid Droplets,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
pokrovskaya-2020-106,Pokrovskaya 2020,pokrovskaya-2020,included,2019,Res Pract Thromb Haemost,Yes,No,,,,,,,,SBF-SEM,3,6.8,30,Human,platelet,70,HuPlt,30,Y,,Mitochondria,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
pokrovskaya-2021-086,Pokrovskaya 2021,pokrovskaya-2021,included,2021,Platelets,Yes,No,,,,,,,,SBF-SEM,3,6.7,35,Rodent,C57BL/6 (M. musculus),56,C57BL,10,Y,,Mitochondria,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
pollreisz-2020-104,Pollreisz 2020,pollreisz-2020,included,2020,Invest Ophthalmol Vis Sci.,Yes,No,,,,,,,,SBF-SEM,3,5,65-75,Human,RPE (retinal epithelia),69,HuRPE,17,Y,,Nucleus,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
ramos-2011-007,Ramos 2011,ramos-2011,included,2011,Cytometry A,Yes,No,,,,,,,,ssTEM,4,200,200,Protist (parasitic protozoan),Trypanosoma cruzi,5,Tc,1,Y,,Nucleus; Mitochondria; Vesicles; Flagella/cilia,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
rodriguez-2015-012,Rodriguez 2015,rodriguez-2015,included,2015,IUCrJ,Yes,No,,,,,,,,X-ray diffraction,10,74-99,74-99,Protist (parasitic protozoan),Neospora caninum,9,Nc,1,Y,,Nucleus; Mitochondria,,Additional file 5_figure_data.xlsx,Datasets_Mod_Cell_SS,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
