study_id,study_slug,included_status,availability_scope_note,public_dataset_link_raw,public_locator_urls,repository_types,imaging_modality,resolution,sample_size_number,sample_size_notes,number_of_files,data_format,file_type,total_size_raw,total_size_bytes_min,total_size_bytes_max,size_parse_note,model_system_specific,organelles,quantifications,comparators_conditions,data_availability_notes,source_file,source_sheet,source_repo_url,source_commit
Cortese 2020,cortese-2020,borderline,,10.6019/EMPIAR-10490,https://www.ebi.ac.uk/empiar/EMPIAR-10490/,EMPIAR,FIB-SEM,5nm or 8nm voxel size,5,3 infected + 2 reference,"14 (MOI 0.5,24 hr, MOI 5 12hr, MOI 5 24hr, MOI4 6h, Mock; tilt series & reconstructed tomo; ""S4"" Area 2, Area 3, Cell 1, S5 Mock cell 1"" unclear what these are)",tilt series & reconstructed tomos,"MRC (tilt series), HDF5 (tomo), TIFFS (S4/S5?)",1.1 TB,1100000000000,1100000000000,,"Calu-3 (human lung epithelium, cultured)","Nucleus; ER; Mitochondria; Golgi; Other: DMVs, DMV-ER connectors",None,Stressors; Other: SARS-CoV2 infection,All these data will be shared with the scientific community for download through the EMPIAR platform and for smooth online visualization through MoBIE,Additional file 3_publicdatasets.xlsx,Available datasets,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Antao 2023,antao-2023,included,Partial dataset provided,10.6019/EMPIAR-11683,https://doi.org/10.5281/zenodo.10009391; https://www.ebi.ac.uk/empiar/EMPIAR-11683/,Zenodo; EMPIAR,SBF-SEM,"2nm xy, 30-60nm z",21+ E.i. ; 4 Vero,"21+ E.i. (â€œA minimum of 7 parasites were segmented completely per conditionâ€ [sporonts, sporoblasts, spores]); 4 Vero (inc PV, Fig 5)","11 (2x24hr Vero,2x48hr Vero, 3x48hr PV, 2xPurified spores, 2xUninfected Vero - partial)",unprocessed micrograph stack,DM4,537.9 GB,537900000000,537900000000,,Encephalitozoon intestinalis (microsporidian fungal pathogen) infecting Vero cells (African green monkey cultured kidney epithelial cells),"Nucleus; ER; Mitochondria; Vacuole/Lysosome; Other: E.i: polaroplast, anchoring disc, polar tube, nucleation center, exospore",Volume; Volume fraction; Dimensions; Contacts/Associations,Other: Developmental stages,Our SBF-SEM datasets are publicly available in the EMPIAR database: EMPIAR-11683. Live-cell imaging and light microscopy data are available in Zenodo: https://doi.org/10.5281/zenodo.10009391.Source data are provided with this paper.,Additional file 3_publicdatasets.xlsx,Available datasets,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Ezzedine 2023,ezzedine-2023,included,Full dataset provided,10.6019/EMPIAR-11694,https://www.ebi.ac.uk/empiar/EMPIAR-11694/,EMPIAR,FIB-SEM,8nm chem-fixed or 10nm isotropic cryo-fixed,2,"1 chemically fixed, 1 cryo-fixed",2,aligned volume,TIFF,104.7 GB,104700000000,104700000000,,Sanguina nivaloides (snow alga),Nucleus; Mitochondria; Lipid Droplets; Chloroplast/Plastid,Volume; Volume fraction; Dimensions; Surface Area; Contacts/Associations,Methodology,"Electron microscopy images can be accessed Electron Microscopy Public Image Archive with the following reference, EMPIAR-11694. Computation and metric geometry for 3D reconstructions were realized using Dragonfly with scripts provided at gitlab.com/clariaddy/ stl_statistics and gitlab.com/clariaddy/mindist for the cryo-fixed cells. Source data are provided with this paper.",Additional file 3_publicdatasets.xlsx,Available datasets,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Hair 2024,hair-2024,included,,10.6019/EMPIAR-11826; https://zenodo.org/records/10652021,https://zenodo.org/records/10652021; https://www.ebi.ac.uk/empiar/EMPIAR-11826/,Zenodo; EMPIAR,SBF-SEM,"5nm xy, 100nm z (in vitro); 75nm (sand fly)",51,"41 in vitro, 10 sand fly-derived","1; 12 (whole cell, midline, subpellicular MTs for 3 cells)",multiframe micrographs; single cell reconstructions,MRC; TIFF,131.9 GB; 17.3 GB,149200000000,149200000000,,Leishmania mexicana,"Nucleus; ER; Mitochondria; Vacuole/Lysosome; Lipid Droplets; Golgi; Flagella/cilia; Other: glycosome, acidocalcisome, kinetoplast, paraflagellar rod, PFR, flagellar pocket",Volume; Volume fraction; Dimensions; Count/#; Surface Area; Density,Cell Cycle; Other: Physiological relevance (in vitro vs sand fly-derived),The SBF-SEM dataset generated and analysed for this study have been deposited and is available in the EMPIAR repository database [54]under the EMPIAR ID:11826 -https://www.ebi.ac.uk/empiar/EMPIAR-11826/. The electron tomography dataset generated and analysed for this study has been deposited and is available in the Zenodo repository - https://zenodo . org/records/10652021.,Additional file 3_publicdatasets.xlsx,Available datasets,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Laundon 2019,laundon-2019,included,,doi. org/10.6084/m9.figshare.7346750.v2,https://doi.org/10.6084/m9.figshare.7346750.v2,figshare,ssTEM,70-150nm sections (z); xy?,5 choanocytes; 3 colonial s. rosetta cells; 3 single s. rosetta cells,,30,TrakEM2 & reconstructions,".xml.gz (16), tif (14)",3.02 GB,3020000000,3020000000,,"s. rosetta (choanoflagellate), oscarella carmela (sponge) choanocytes","Nucleus; ER; Mitochondria; Vacuole/Lysosome; Golgi; Vesicles; Flagella/cilia; Centrosome/Basal Body; Other: glycogen granules, nucleolus, basal foot",Volume; Volume fraction; Dimensions; Count/#; Positioning/Distance; Contacts/Associations; Shape,Cell Type/Species; Other: Differentiation,"(""All relevant data are within the paper and its Supporting Information files. All TrakEM2 project files and electron microscopy files are available from figshare (doi. org/10.6084/m9.figshare.7346750.v2)."")",Additional file 3_publicdatasets.xlsx,Available datasets,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
McQuate 2023,mcquate-2023,included,,https://elifesciences.org/articles/80468#data (individual links to webknossos),https://elifesciences.org/articles/80468#data; http://demo.webknossos.org/,elifesciences.org; webKnossos,SBF-SEM,"5nm xy, 40-50nm z",141,"12 3dpf (12 w kinocilia, 10 w stereocilia), 65 5-6dpf HC (inc cilia); 19 cdh23 cells; 45 cav1.3a cells - only counted the ones for which multiple organelles are segmented/analyzed (cilia), according to figure legends","16 (Webknossos interactive vis, can download, annotate, etc (requires account), size depends on file format)",EM stack,OME-TIFF or TIFF zip (choice upon download),"25-200 MB each, need to check; some BBs are too large to download?",400000000,3200000000,range multiplied by reported file count (16),Zebrafish hair cells and supporting cells,Mitochondria; Flagella/cilia,"Volume; Volume fraction; Dimensions; Count/#; Other: size scaling (org:cell, org:org)",Cell Type/Species; Other: development (young vs mature),"The SBFSEM data volumes for the sixteen different NMs used in this manuscript, including WT and mutants, are publicly available at webKnossos (http://demo.webknossos.org/), searchable by the dataset name indicated in the relevant source data. [information for 16 datasets included]",Additional file 3_publicdatasets.xlsx,Available datasets,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Mocaer 2023,mocaer-2023,included,,"10.6019/EMPIAR-11399; Github link doesn't work, can't search",https://github.com/mobie/environmentaldinoflagellate-vCLEM; https://www.ebi.ac.uk/empiar/EMPIAR-11399/,GitHub/MoBIE; EMPIAR,FIB-SEM,8nm isotropic,1,,1 (EMPIAR),aligned cropped volume,TIFF,14.5 GB,14500000000,14500000000,,Ensiculifera tyrrhenica (dinoflagellate),"Nucleus; Mitochondria; Chloroplast/Plastid; Golgi; Flagella/cilia; Other: starch aggregates, trichocyst, mucocyst",Volume; Volume fraction; Dimensions; Count/#,,The FIB-SEM datasets generated during this study are available at Electron Microscopy Public Image Archive (EMPIAR) under the accession number EMPIAR11399. The complete dataset and associated segmentation can be visualized and interacted with using MoBIE (https://github.com/mobie/environmentaldinoflagellate-vCLEM).,Additional file 3_publicdatasets.xlsx,Available datasets,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Muller 2021,muller-2021,included,,https://betaseg.github.io/; https://cloud.mpi-cbg.de/index.php/s/UJopHTRuh6f4wR8,https://betaseg.github.io/; https://cloud.mpi-cbg.de/index.php/s/UJopHTRuh6f4wR8; https://sites.imagej.net/,BetaSeg; MPI-CBG Cloud; sites.imagej.net,FIB-SEM,~4 nm voxels (rescaled from near-isotropic),7,"3 low-glucose, 4 high-glucose",7 (folders),"folders containing indiv masks, maps, quants for each structure",.tif,56.4,56400000000,56400000000,numeric cell without units in workbook; interpreted as GB from context,Primary mouse B cells,"Nucleus; Mitochondria; Golgi; Other: Centriole, PC axoneme, insulin secretory granules, PM",Volume; Volume fraction; Dimensions; Count/#; Surface Area; Contacts/Associations,Metabolic State; Other: High glucose v low glucose,Segmentation masks and crops of analyzed Î² cellshavebeen binned to near 16 nm isotropic voxel size and are available for download via https://betaseg.github.io/. The FIJI plugin BetaSeg Viewer and the plugin for importing KNOSSOS skeletons can be downloaded via the update site https://sites.imagej.net/ betaseg/.,Additional file 3_publicdatasets.xlsx,Available datasets,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Rudlaff 2020,rudlaff-2020,included,,10.6019/EMPIAR-10392,https://www.ebi.ac.uk/pdbe/; https://www.ebi.ac.uk/empiar/EMPIAR-10392/,www.ebi.ac.uk; EMPIAR,FIB-SEM,"5nm xy, 20nm z",11,"11 fully rendered & analyzed: 4 early segmentation, 4 mid-segmentation, 1pvm rupture, 2 post-pvm rupture (+/- E54 treatment) 23 full schizonts (48-50hpi, +79 partial); 15 full schizonts in the 46-48hpi (+75 partial)",11,multiframe micrographs,MRC (10); TIFF (1),3.9 GB,3900000000,3900000000,,Plasmodium falciparum,"Nucleus; Vacuole/Lysosome; Centrosome/Basal Body; Other: residual body, basal complex, mature and immature rhoptries, apicoplasts, cytostomes, cytostome collars, ""small electron-dense organelles (micronemes)""",Count/#; Contacts/Associations; Other: Nuclear apical buds,Cell Cycle; Stressors; Other: stressor - E64 protease inhibitor treatment,"Y (""All relevant data are within the manuscript and its Supporting Information files.The supplemental files are available for download from the Electron Microscopy Public Image Archive (EMPIAR) as entry EMPIAR-10392(https://w ww.ebi.ac.uk/pdbe/ emdb/empiar/entry/10392/)."")",Additional file 3_publicdatasets.xlsx,Available datasets,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Sakaguchi 2016,sakaguchi-2016,included,,10.6019/EMPIAR-10052; 10.6019/EMPIAR-10053; 10.6019/EMPIAR-10054; 10.6019/EMPIAR-10055,https://www.ebi.ac.uk/empiar/EMPIAR-10052/; https://www.ebi.ac.uk/empiar/EMPIAR-10053/; https://www.ebi.ac.uk/empiar/EMPIAR-10054/; https://www.ebi.ac.uk/empiar/EMPIAR-10055/,EMPIAR,SBF-SEM,"8.22nm xy, 70nm z",22,"22 iRBCs, as well as 10 non-iRBCs which don't count becase they don't have organelles",4,single micrograph,MRC,293+268+222+219.7 MB,219700000,219700000,,Plasmodium falciparum-infected human red blood cells/erythrocytes,"Nucleus; Mitochondria; Vacuole/Lysosome; Vesicles; Other: Maurer's cleft, parasitophorous vacuole, TVN, digestive vacuole, hemoglobin-containing structure",Volume; Volume fraction; Surface Area; Other: volume scaling,Other: developmental/life cycle stages,EMPIAR-10052-10055,Additional file 3_publicdatasets.xlsx,Available datasets,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Uwizeye 2021a,uwizeye-2021a,included,,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BSST575,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BSST575; https://www.ebi.ac.uk/biostudies/studies/S-BSST575,BioStudies,FIB-SEM,4 or 8nm voxels (isotropic),21,3 cells per species,"3 zip files (1 per species, 3 full cells each)",aligned cropped volume,,958.3,958300000000,958300000000,numeric cell without units in workbook; interpreted as GB from context,"Mammiellophyceae (Micromonas RCC 827), Prymnesiophyceae (Emiliania RCC 909), Pelagophyceae (Pelagomonas RCC 100), Dinophyceae (Symbiodinium RCC 4014 clade A), Cyanidiophyceae (Galdieria SAG 21.92), Bacillariophyceae (Phaeodactylum Pt1 8.6), and Eustigmatophyceae (Nannochloropsis CCMP 526)","Nucleus; Mitochondria; Chloroplast/Plastid; Vesicles; Other: eu/heterochromatin,",Volume; Volume fraction; Surface Area; Contacts/Associations; Other: volume & SA scaling,Light/Dark; Cell Type/Species; Other: Trophic conditions,"""The authors declare that all the data supporting the findings of this study are available within the paper and in its supplementary information files. Raw FIB-SEM stacks are available at https://www.ebi.ac.uk/biostudies/studies/S-BSST575. Source data are provided with this paper""",Additional file 3_publicdatasets.xlsx,Available datasets,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
Uwizeye 2021b,uwizeye-2021b,included,,10.6019/EMPIAR-10672,https://www.ebi.ac.uk/empiar/EMPIAR-10672/,EMPIAR,FIB-SEM,5-10 nm iso,27,20 free-living + 7 symbiotic,"21 (14 free, 7 symbiotic)",multiframe micrographs,TIFF,2.9 GB,2900000000,2900000000,,"algal endosymbiont Phaeocystis cordata w/ Â and w/o host Acantharia (radiolarian protozoa, marine microplankton)","Nucleus; Mitochondria; Vacuole/Lysosome; Chloroplast/Plastid; Other: plastid sub-compartments: pyrenoid, stroma, thylakoid nucleus sub-compartments: nucleolus, heteroch, euch",Volume; Volume fraction; Surface Area; Positioning/Distance; Contacts/Associations; Shape; Other: volume scaling (plastid/mito),Metabolic State; Other: free-living vs symbiotic,"Raw electron microscopy data are deposited in the Electron Microscopy Public Image Archive (EMPIAR), accession code EMPIAR-10672.",Additional file 3_publicdatasets.xlsx,Available datasets,https://github.com/mmirvis/Cell-Anatomy-Scoping-Review.git,a2218f4e65818f3187f2b3c050690bd16fd21c6e
